Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Lebanon,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , <0.01,
Lesotho,0.24 ,0.13 , 0.40,,0.40 ,0.27 , 0.60,,0.66 ,0.48 , 0.92,,1.03 ,0.83 , 1.35,,1.55 ,1.29 , 1.89,,2.20 ,1.87 , 2.64,,2.97 ,2.55 , 3.54,,3.82 ,3.27 , 4.53,,4.72 ,4.07 , 5.57,,5.65 ,4.87 , 6.60,,6.57 ,5.72 , 7.74,,7.46 ,6.47 , 8.78,,8.27 ,7.22 , 9.73,,8.96 ,7.88 , 10.56,,9.51 ,8.39 , 11.18,,9.82 ,8.67 , 11.51,,9.19 ,8.12 , 10.87,,8.11 ,7.08 , 9.71,,6.13 ,5.21 , 7.50,,5.01 ,4.13 , 6.34,,4.24 ,3.45 , 5.54,,3.74 ,3.02 , 5.06,,3.67 ,2.79 , 5.16,,3.81 ,2.94 , 5.40,,3.89 ,3.04 , 5.50,,3.86 ,3.05 , 5.42,,3.53 ,2.87 , 4.85,,3.15 ,2.65 , 4.23,,2.78 ,2.36 , 3.68,,2.49 ,2.07 , 3.36,,2.52 ,2.05 , 3.26,
Liberia,0.27 ,0.09 , 0.69,,0.37 ,0.12 , 0.87,,0.46 ,0.17 , 1.03,,0.56 ,0.24 , 1.15,,0.66 ,0.29 , 1.27,,0.76 ,0.35 , 1.39,,0.85 ,0.42 , 1.49,,0.93 ,0.50 , 1.55,,1.00 ,0.57 , 1.59,,1.06 ,0.65 , 1.63,,1.11 ,0.72 , 1.65,,1.14 ,0.78 , 1.62,,1.15 ,0.84 , 1.57,,1.15 ,0.87 , 1.54,,1.13 ,0.89 , 1.46,,1.11 ,0.88 , 1.39,,1.07 ,0.88 , 1.31,,0.96 ,0.79 , 1.17,,0.89 ,0.74 , 1.08,,0.82 ,0.69 , 0.99,,0.74 ,0.62 , 0.89,,0.66 ,0.55 , 0.80,,0.59 ,0.49 , 0.72,,0.56 ,0.47 , 0.69,,0.54 ,0.45 , 0.66,,0.52 ,0.43 , 0.63,,0.50 ,0.41 , 0.61,,0.45 ,0.36 , 0.55,,0.37 ,0.29 , 0.46,,0.30 ,0.22 , 0.38,,0.27 ,0.20 , 0.35,
Libya,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.01 ,<0.01 , 0.01,
Lithuania,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Luxembourg,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Madagascar,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.01 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.04,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.05,,0.05 ,0.03 , 0.06,,0.05 ,0.04 , 0.06,,0.06 ,0.04 , 0.07,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.09,
Malawi,1.98 ,1.59 , 2.52,,2.40 ,1.99 , 2.98,,2.84 ,2.42 , 3.49,,3.32 ,2.88 , 4.01,,3.82 ,3.36 , 4.56,,4.33 ,3.81 , 5.10,,4.81 ,4.30 , 5.63,,5.24 ,4.71 , 6.05,,5.61 ,5.07 , 6.45,,5.90 ,5.36 , 6.75,,6.12 ,5.57 , 7.01,,6.25 ,5.69 , 7.14,,6.32 ,5.78 , 7.20,,6.33 ,5.82 , 7.16,,6.25 ,5.73 , 7.09,,5.90 ,5.42 , 6.70,,5.38 ,4.94 , 6.15,,4.73 ,4.32 , 5.46,,3.96 ,3.57 , 4.64,,3.20 ,2.81 , 3.81,,2.68 ,2.31 , 3.24,,2.28 ,1.95 , 2.83,,1.93 ,1.63 , 2.44,,1.56 ,1.30 , 2.00,,1.30 ,1.07 , 1.70,,1.16 ,0.98 , 1.54,,1.05 ,0.88 , 1.41,,0.97 ,0.84 , 1.27,,0.85 ,0.75 , 1.09,,0.75 ,0.67 , 0.95,,0.63 ,0.55 , 0.83,
Malaysia,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,0.02 ,0.01 , 0.02,,0.03 ,0.02 , 0.03,,0.04 ,0.03 , 0.05,,0.06 ,0.05 , 0.07,,0.07 ,0.06 , 0.09,,0.09 ,0.07 , 0.11,,0.11 ,0.09 , 0.13,,0.12 ,0.10 , 0.14,,0.14 ,0.11 , 0.16,,0.14 ,0.12 , 0.17,,0.14 ,0.11 , 0.17,,0.14 ,0.11 , 0.16,,0.13 ,0.10 , 0.16,,0.13 ,0.10 , 0.15,,0.13 ,0.10 , 0.15,,0.13 ,0.10 , 0.15,,0.12 ,0.10 , 0.15,,0.12 ,0.10 , 0.15,,0.12 ,0.10 , 0.15,,0.12 ,0.10 , 0.15,,0.13 ,0.10 , 0.15,,0.13 ,0.11 , 0.15,,0.12 ,0.10 , 0.14,,0.10 ,0.09 , 0.12,,0.09 ,0.07 , 0.11,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.08,
Maldives,...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication."
Mali,0.25 ,0.09 , 0.64,,0.31 ,0.12 , 0.73,,0.38 ,0.16 , 0.83,,0.45 ,0.21 , 0.90,,0.51 ,0.25 , 0.96,,0.58 ,0.30 , 1.00,,0.64 ,0.36 , 1.05,,0.69 ,0.42 , 1.08,,0.73 ,0.48 , 1.10,,0.77 ,0.53 , 1.09,,0.79 ,0.57 , 1.07,,0.81 ,0.60 , 1.07,,0.81 ,0.63 , 1.04,,0.80 ,0.64 , 0.99,,0.77 ,0.64 , 0.95,,0.71 ,0.59 , 0.87,,0.68 ,0.58 , 0.82,,0.60 ,0.50 , 0.73,,0.53 ,0.43 , 0.65,,0.47 ,0.38 , 0.58,,0.43 ,0.34 , 0.53,,0.38 ,0.30 , 0.48,,0.34 ,0.27 , 0.42,,0.35 ,0.27 , 0.43,,0.36 ,0.28 , 0.45,,0.35 ,0.28 , 0.44,,0.32 ,0.25 , 0.40,,0.30 ,0.23 , 0.38,,0.28 ,0.21 , 0.37,,0.25 ,0.19 , 0.34,,0.23 ,0.17 , 0.31,
Malta,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Mauritania,0.02 ,<0.01 , 0.03,,0.02 ,0.01 , 0.04,,0.03 ,0.02 , 0.05,,0.04 ,0.03 , 0.07,,0.05 ,0.04 , 0.09,,0.07 ,0.05 , 0.10,,0.08 ,0.06 , 0.12,,0.10 ,0.07 , 0.14,,0.12 ,0.09 , 0.16,,0.14 ,0.10 , 0.18,,0.16 ,0.12 , 0.20,,0.18 ,0.14 , 0.21,,0.19 ,0.16 , 0.23,,0.21 ,0.17 , 0.25,,0.22 ,0.18 , 0.26,,0.22 ,0.19 , 0.26,,0.21 ,0.18 , 0.25,,0.20 ,0.16 , 0.23,,0.18 ,0.15 , 0.22,,0.18 ,0.14 , 0.21,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.21,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.21,,0.16 ,0.13 , 0.20,,0.15 ,0.12 , 0.19,,0.15 ,0.12 , 0.18,,0.14 ,0.11 , 0.18,,0.13 ,0.10 , 0.16,,0.12 ,0.09 , 0.15,,0.11 ,0.08 , 0.14,
Mauritius,<0.01,,,,<0.01,,,,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.05,,0.03 ,<0.01 , 0.08,,0.05 ,0.02 , 0.12,,0.07 ,0.03 , 0.16,,0.11 ,0.04 , 0.22,,0.15 ,0.07 , 0.27,,0.19 ,0.10 , 0.33,,0.24 ,0.13 , 0.38,,0.29 ,0.17 , 0.43,,0.33 ,0.21 , 0.48,,0.37 ,0.25 , 0.51,,0.42 ,0.30 , 0.55,,0.46 ,0.35 , 0.60,,0.51 ,0.40 , 0.66,,0.54 ,0.44 , 0.70,,0.49 ,0.41 , 0.67,,0.51 ,0.43 , 0.69,,0.54 ,0.45 , 0.71,,0.54 ,0.45 , 0.71,,0.57 ,0.49 , 0.74,,0.61 ,0.53 , 0.78,,0.64 ,0.56 , 0.81,,0.65 ,0.57 , 0.83,,0.66 ,0.58 , 0.83,
Mexico,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.04 , 0.05,,0.05 ,0.04 , 0.05,,0.05 ,0.04 , 0.06,,0.04 ,0.04 , 0.05,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.06,,0.06 ,0.05 , 0.07,,0.07 ,0.05 , 0.08,,0.06 ,0.05 , 0.07,,0.06 ,0.05 , 0.07,,0.06 ,0.05 , 0.07,,0.06 ,0.04 , 0.07,,0.06 ,0.05 , 0.07,,0.06 ,0.05 , 0.08,,0.06 ,0.05 , 0.07,,0.06 ,0.04 , 0.07,,0.06 ,0.04 , 0.07,,0.06 ,0.04 , 0.07,,0.06 ,0.04 , 0.07,,0.05 ,0.04 , 0.07,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.06,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,
Mongolia,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,
Montenegro,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication."
Morocco,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.01,
Mozambique,0.24 ,0.17 , 0.34,,0.32 ,0.23 , 0.46,,0.44 ,0.31 , 0.62,,0.57 ,0.41 , 0.82,,0.74 ,0.53 , 1.05,,0.93 ,0.66 , 1.33,,1.15 ,0.82 , 1.64,,1.39 ,0.99 , 1.98,,1.65 ,1.17 , 2.34,,1.92 ,1.37 , 2.73,,2.21 ,1.57 , 3.15,,2.51 ,1.78 , 3.56,,2.79 ,1.99 , 3.97,,3.06 ,2.18 , 4.35,,3.27 ,2.33 , 4.65,,3.44 ,2.45 , 4.90,,3.50 ,2.49 , 4.98,,3.31 ,2.35 , 4.70,,2.97 ,2.11 , 4.22,,2.76 ,1.96 , 3.93,,2.81 ,2.00 , 4.00,,2.74 ,1.95 , 3.89,,2.66 ,1.89 , 3.78,,2.52 ,1.79 , 3.58,,2.20 ,1.56 , 3.12,,1.86 ,1.32 , 2.65,,1.65 ,1.18 , 2.35,,1.53 ,1.09 , 2.18,,1.40 ,1.00 , 1.99,,1.29 ,0.92 , 1.83,,1.23 ,0.88 , 1.75,
Myanmar,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Namibia,0.34 ,0.26 , 0.44,,0.49 ,0.39 , 0.62,,0.70 ,0.57 , 0.86,,0.97 ,0.82 , 1.16,,1.31 ,1.12 , 1.56,,1.72 ,1.50 , 2.05,,2.20 ,1.94 , 2.57,,2.71 ,2.40 , 3.16,,3.25 ,2.93 , 3.79,,3.78 ,3.44 , 4.40,,4.29 ,3.93 , 4.96,,4.78 ,4.35 , 5.50,,5.23 ,4.75 , 6.02,,5.63 ,5.11 , 6.47,,5.88 ,5.34 , 6.74,,5.38 ,4.89 , 6.07,,4.56 ,4.06 , 5.22,,3.54 ,3.10 , 4.19,,2.58 ,2.24 , 3.16,,2.03 ,1.76 , 2.49,,1.72 ,1.49 , 2.19,,1.64 ,1.40 , 2.05,,1.63 ,1.38 , 1.99,,1.47 ,1.24 , 1.80,,1.33 ,1.12 , 1.63,,1.29 ,1.06 , 1.63,,1.42 ,1.21 , 1.74,,1.31 ,1.10 , 1.65,,1.36 ,1.14 , 1.71,,1.29 ,1.09 , 1.57,,1.18 ,0.99 , 1.44,
